breed, number, num3kstruct, num55k, numpca3k, struct 3k avg, stdv,avg pca 55k, sd 55,avg pca 3k, sd 3 
216,4,4,4,4,0.973,0.011,0.944,0.001,0.914,0.018,
217,4,4,4,4,0.965,0.024,0.953,0.003,0.923,0.029,
214,3,3,3,3,0.981,0.011,0.951,0.001,0.942,0.018,
215,4,4,4,4,0.943,0.028,0.934,0.006,0.896,0.022,
212,4,3,3,3,0.974,0.018,0.944,0.000,0.943,0.012,
558,20,20,20,20,0.349,0.030,0.301,0.012,0.318,0.032,
210,4,3,3,3,0.996,0.001,0.957,0.004,1.010,0.036,
211,2,2,2,2,0.986,0.001,0.957,0.000,0.951,0.001,
555,24,24,24,24,0.677,0.037,0.644,0.033,0.660,0.039,
112,8,8,8,8,0.959,0.020,0.914,0.004,0.915,0.022,
'xxx',3,3,3,3,0.782,0.110,0.772,0.120,0.765,0.104,
218,4,4,4,4,0.981,0.009,0.948,0.003,0.955,0.029,
219,5,5,5,5,0.452,0.032,0.396,0.020,0.424,0.034,
114,5,4,4,4,0.98,0.017,0.981,0.006,0.965,0.038,
117,5,5,5,5,0.976,0.008,0.897,0.001,0.928,0.016,
116,29,29,29,29,0.943,0.032,0.899,0.004,0.894,0.030,
111,5,5,5,5,0.908,0.034,0.851,0.038,0.873,0.037,
110,8,7,7,7,0.888,0.045,0.832,0.032,0.847,0.048,
113,5,5,5,5,0.996,0.001,0.962,0.008,1.005,0.023,
129,15,15,15,15,0.994,0.002,0.983,0.005,0.994,0.018,
119,29,29,29,29,0.873,0.027,0.813,0.005,0.825,0.026,
118,5,5,5,5,0.982,0.020,0.949,0.006,0.945,0.025,
213,4,4,4,4,0.949,0.032,0.942,0.002,0.901,0.028,
106,7,7,7,7,0.855,0.036,0.800,0.003,0.813,0.038,
102,100,100,100,100,0.976,0.019,0.928,0.009,0.925,0.026,
105,10,10,10,10,0.891,0.021,0.831,0.011,0.858,0.020,
107,4,4,4,4,0.990,0.007,0.952,0.003,0.978,0.025,
221,5,5,5,5,0.963,0.004,0.907,0.004,0.917,0.004,
506,10,10,10,10,0.002,0.002,-0.02,0.004,-0.04,0.021,
507,25,25,25,25,0.003,0.003,-0.03,0.006,-0.02,0.016,
504,70,60,58,60,0.003,0.004,-0.03,0.009,-0.01,0.016,
505,3,3,3,3,0.013,0.006,-0.01,0.004,0.000,0.011,
502,42,41,42,41,0.370,0.024,0.370,0.021,0.335,0.025,
503,99,98,98,98,0.025,0.028,0.010,0.024,0.010,0.034,
500,59,59,59,59,0.711,0.075,0.636,0.053,0.656,0.071,
501,44,44,44,44,0.184,0.022,0.185,0.015,0.165,0.022,
201,10,10,10,10,0.972,0.013,0.947,0.003,0.922,0.016,
200,100,100,85,100,0.923,0.029,0.952,0.004,0.901,0.029,
202,10,10,10,10,0.917,0.022,0.920,0.003,0.878,0.022,
205,10,10,10,10,0.976,0.013,0.919,0.003,0.919,0.015,
204,10,10,10,10,0.953,0.018,0.906,0.004,0.908,0.018,
120,5,5,5,5,0.950,0.018,0.918,0.006,0.892,0.013,
122,9,8,8,8,0.989,0.010,0.944,0.004,0.965,0.021,
123,37,37,36,37,0.828,0.068,0.826,0.071,0.800,0.071,
124,100,99,99,99,0.997,0.003,0.990,0.012,1.054,0.037,
125,5,5,5,5,0.985,0.007,0.918,0.008,0.943,0.017,
127,4,4,4,4,0.989,0.002,0.963,0.004,0.942,0.011,
128,8,8,8,8,0.857,0.029,0.813,0.016,0.815,0.025,
103,55,53,53,53,0.956,0.031,0.906,0.014,0.919,0.031,
100,90,90,90,90,0.991,0.006,0.990,0.005,0.986,0.025,
101,100,98,98,98,0.986,0.010,1.020,0.018,0.958,0.022,
223,21,21,21,21,0.979,0.013,0.946,0.004,0.947,0.018,
222,5,5,4,5,0.639,0.022,0.583,0.019,0.605,0.017,
104,84,78,77,78,0.988,0.008,0.936,0.023,0.948,0.023,
220,5,4,2,4,0.841,0.015,0.813,0.004,0.811,0.025,
900,115,114,40,114,0.889,0.068,0.786,0.054,0.842,0.061,
901,5,5,5,5,0.862,0.082,0.809,0.055,0.819,0.075,
552,24,24,24,24,0.671,0.035,0.658,0.030,0.652,0.037,
109,5,5,5,5,0.963,0.023,0.911,0.002,0.915,0.022,
